captain_id,city,vehicle_type,signup_month,captain_type,rides_week1,rides_week2,rides_week3,rides_week4,ride_decay_rate,night_rides_ratio,peak_hour_ratio,cancellation_rate,avg_ride_duration,avg_fare_per_km,petrol_cost_sensitivity,estimated_daily_earnings,zone_switches,incentive_claimed,streak_completed,app_opens_per_day,support_tickets,payment_method_pref,is_churned
CAP02266,Hyderabad,bike,12,fulltime,74,41,30,20,0.72,0.408,0.442,0.22,14.6,11.83,0.385,246.0,0,1,1,9,1,qr_scan,0
CAP02267,Chennai,bike,12,fulltime,81,65,44,34,0.573,0.314,0.589,0.08,16.6,12.82,0.426,535.0,3,1,0,4,0,qr_scan,0
CAP02268,Bengaluru,bike,10,parttime,23,19,11,7,0.667,0.787,0.318,0.178,13.4,13.09,0.422,100.0,2,0,0,2,0,gpay,0
CAP02269,Hyderabad,bike,5,fulltime,70,52,42,26,0.62,0.376,0.299,0.22,13.4,9.32,0.453,252.0,1,0,1,2,0,qr_scan,0
CAP02270,Bengaluru,auto,11,parttime,37,34,20,9,0.737,0.468,0.509,0.136,25.2,18.83,0.535,195.0,4,1,0,2,1,amazon_pay,1
CAP02271,Hyderabad,bike,8,fulltime,65,36,32,17,0.727,0.194,0.298,0.22,13.9,11.82,0.411,209.0,3,1,0,3,1,paytm,0
CAP02272,Hyderabad,auto,12,parttime,27,20,17,9,0.643,0.713,0.409,0.086,18.9,15.82,0.58,174.0,2,0,0,5,1,gpay,0
CAP02273,Chennai,bike,5,fulltime,64,43,29,26,0.585,0.377,0.683,0.22,23.5,11.66,0.657,315.0,1,1,0,11,0,paytm,0
CAP02274,Delhi,bike,5,parttime,26,24,21,15,0.407,0.689,0.516,0.22,20.5,9.38,0.27,146.0,4,0,0,4,1,gpay,0
CAP02275,Chennai,bike,1,parttime,25,23,21,14,0.423,0.718,0.354,0.22,16.4,10.03,0.027,146.0,2,1,0,7,2,paytm,1
CAP02276,Chennai,auto,2,fulltime,70,41,19,12,0.817,0.338,0.647,0.14,15.5,15.21,0.563,209.0,0,0,0,7,1,qr_scan,0
CAP02277,Hyderabad,bike,5,fulltime,107,75,65,48,0.546,0.336,0.427,0.173,18.5,12.54,0.427,664.0,2,0,1,8,2,cash,1
CAP02278,Chennai,bike,7,parttime,33,21,13,6,0.794,0.184,0.377,0.22,8.2,9.25,0.564,58.0,2,1,0,6,1,amazon_pay,1
CAP02279,Bengaluru,bike,3,fulltime,91,80,75,45,0.5,0.211,0.31,0.22,15.3,10.7,0.85,501.0,2,0,0,9,0,gpay,0
CAP02280,Bengaluru,bike,12,fulltime,86,78,48,33,0.609,0.298,0.107,0.218,20.3,12.26,0.307,422.0,1,0,1,10,1,amazon_pay,0
CAP02281,Hyderabad,auto,1,fulltime,100,90,77,43,0.564,0.274,0.247,0.14,13.1,15.69,0.073,774.0,4,0,0,7,1,gpay,0
CAP02282,Hyderabad,bike,11,parttime,21,14,7,2,0.864,0.866,0.163,0.22,15.0,8.8,0.048,18.0,1,1,0,8,3,qr_scan,1
CAP02283,Bengaluru,bike,12,parttime,25,16,14,8,0.654,0.424,0.412,0.135,15.4,11.26,0.389,104.0,1,0,0,6,1,paytm,1
CAP02284,Bengaluru,bike,2,parttime,33,27,22,9,0.706,0.671,0.384,0.22,18.6,7.95,0.368,74.0,4,1,0,7,2,cash,0
CAP02285,Bengaluru,auto,3,parttime,23,21,12,9,0.583,0.691,0.198,0.052,16.4,13.0,0.182,148.0,6,1,0,8,1,gpay,0
CAP02286,Delhi,auto,12,fulltime,65,37,29,18,0.712,0.691,0.293,0.04,24.3,19.06,0.675,439.0,2,1,1,3,0,paytm,0
CAP02287,Bengaluru,bike,9,parttime,40,22,14,13,0.659,0.578,0.446,0.22,10.6,12.29,0.725,166.0,4,0,0,2,0,amazon_pay,1
CAP02288,Hyderabad,bike,8,fulltime,85,60,52,29,0.651,0.325,0.605,0.22,15.3,10.36,0.559,312.0,1,1,0,1,1,gpay,0
CAP02289,Bengaluru,bike,4,parttime,28,20,9,4,0.828,0.631,0.818,0.22,15.5,11.9,0.359,50.0,3,0,0,7,1,paytm,0
CAP02290,Chennai,bike,8,fulltime,97,72,51,48,0.5,0.391,0.518,0.08,16.4,13.78,0.231,811.0,1,0,0,6,1,paytm,0
CAP02291,Bengaluru,bike,9,parttime,30,22,17,9,0.677,0.521,0.317,0.22,23.3,9.91,0.21,93.0,3,1,0,6,0,amazon_pay,0
CAP02292,Bengaluru,auto,3,parttime,26,19,12,7,0.704,0.836,0.279,0.14,32.8,17.99,0.456,144.0,2,1,0,6,1,paytm,0
CAP02293,Hyderabad,bike,6,fulltime,83,71,48,17,0.786,0.108,0.386,0.196,19.9,9.68,0.254,176.0,0,0,0,3,2,gpay,1
CAP02294,Bengaluru,bike,8,parttime,40,34,19,9,0.756,0.522,0.236,0.08,10.6,10.28,0.49,113.0,5,1,0,8,1,gpay,1
CAP02295,Bengaluru,auto,10,fulltime,86,73,48,39,0.54,0.181,0.811,0.073,20.5,21.14,0.335,1019.0,0,0,0,4,0,gpay,0
CAP02296,Bengaluru,bike,7,parttime,29,19,17,13,0.533,0.76,0.842,0.08,8.0,11.07,0.345,177.0,2,0,0,9,2,gpay,0
CAP02297,Bengaluru,bike,9,parttime,31,17,10,5,0.812,0.82,0.056,0.22,20.4,11.34,0.455,59.0,2,0,0,5,1,amazon_pay,1
CAP02298,Bengaluru,bike,7,fulltime,84,73,68,61,0.271,0.304,0.386,0.165,19.6,8.06,0.21,547.0,0,1,0,5,1,gpay,0
CAP02299,Bengaluru,bike,1,fulltime,88,81,55,37,0.573,0.161,0.174,0.138,12.7,9.75,0.577,415.0,1,1,0,10,1,gpay,0
CAP02300,Pune,auto,9,parttime,24,18,13,9,0.6,0.602,0.623,0.14,28.2,18.84,0.602,194.0,3,1,0,9,0,cash,0
CAP02301,Hyderabad,bike,12,parttime,25,14,6,4,0.808,0.831,0.182,0.22,23.2,12.0,0.516,50.0,5,0,1,5,0,gpay,0
CAP02302,Hyderabad,bike,5,parttime,26,15,8,6,0.741,0.523,0.109,0.22,17.6,9.51,0.282,59.0,1,1,1,5,2,gpay,1
CAP02303,Bengaluru,bike,6,parttime,29,25,15,6,0.767,0.672,0.756,0.22,13.3,14.24,0.674,89.0,0,1,0,5,0,gpay,1
CAP02304,Delhi,auto,2,fulltime,68,55,33,21,0.681,0.222,0.383,0.112,28.9,13.0,0.05,323.0,1,0,1,1,2,amazon_pay,0
CAP02305,Hyderabad,bike,2,parttime,23,14,11,7,0.667,0.735,0.656,0.22,15.2,11.28,0.172,82.0,5,1,0,5,0,amazon_pay,1
CAP02306,Bengaluru,bike,4,parttime,31,19,13,4,0.844,0.389,0.337,0.22,16.0,13.38,0.513,56.0,2,0,0,8,0,gpay,0
CAP02307,Chennai,auto,4,fulltime,75,50,27,13,0.816,0.703,0.119,0.096,10.4,16.52,0.598,259.0,2,1,0,4,0,gpay,0
CAP02308,Bengaluru,bike,5,fulltime,90,60,45,36,0.593,0.491,0.579,0.22,20.5,9.08,0.773,340.0,1,0,0,10,2,paytm,0
CAP02309,Bengaluru,bike,7,parttime,29,25,12,11,0.6,0.806,0.679,0.216,15.4,9.62,0.078,111.0,0,1,0,9,1,amazon_pay,1
CAP02310,Hyderabad,bike,11,parttime,32,29,25,23,0.273,0.46,0.21,0.155,8.6,13.05,0.211,338.0,3,1,0,7,2,cash,0
CAP02311,Pune,bike,12,fulltime,69,44,36,28,0.586,0.651,0.069,0.08,12.7,12.47,0.757,428.0,1,1,0,5,1,gpay,0
CAP02312,Hyderabad,bike,1,parttime,32,20,12,9,0.697,0.872,0.664,0.22,12.5,7.0,0.161,66.0,4,1,0,6,2,gpay,0
CAP02313,Chennai,bike,10,parttime,21,16,7,5,0.727,0.613,0.588,0.147,17.3,13.73,0.597,78.0,2,0,0,5,1,amazon_pay,1
CAP02314,Delhi,bike,4,fulltime,83,64,53,27,0.667,0.389,0.331,0.162,18.6,10.37,0.642,313.0,2,0,0,5,2,amazon_pay,1
CAP02315,Bengaluru,bike,9,parttime,24,15,8,4,0.8,0.486,0.332,0.151,16.2,11.69,0.276,53.0,4,0,0,3,4,gpay,1
CAP02316,Bengaluru,bike,8,fulltime,82,71,41,18,0.771,0.517,0.356,0.22,9.5,7.84,0.263,147.0,2,1,1,1,1,qr_scan,1
CAP02317,Hyderabad,bike,3,fulltime,88,80,53,33,0.618,0.43,0.421,0.113,16.7,7.65,0.543,299.0,0,1,0,8,0,paytm,0
CAP02318,Hyderabad,bike,6,parttime,25,14,10,3,0.846,0.745,0.209,0.148,18.7,7.08,0.466,24.0,3,1,0,6,1,gpay,0
CAP02319,Hyderabad,auto,11,parttime,32,27,12,10,0.667,0.548,0.825,0.097,21.2,15.22,0.22,183.0,2,1,0,4,1,paytm,0
CAP02320,Delhi,bike,9,parttime,19,14,12,11,0.4,0.298,0.747,0.22,18.4,9.19,0.327,105.0,1,1,0,4,2,paytm,1
CAP02321,Chennai,auto,8,parttime,18,11,5,2,0.842,0.608,0.323,0.053,26.6,19.6,0.335,49.0,3,0,0,8,2,amazon_pay,0
CAP02322,Chennai,bike,7,fulltime,65,46,24,15,0.758,0.617,0.048,0.22,16.8,10.74,0.491,168.0,2,0,0,8,0,cash,0
CAP02323,Bengaluru,bike,7,parttime,35,26,14,8,0.75,0.786,0.427,0.186,17.1,12.26,0.266,106.0,1,1,1,2,1,paytm,0
CAP02324,Pune,bike,1,parttime,24,18,15,11,0.52,0.585,0.753,0.22,15.7,9.27,0.628,106.0,1,0,0,8,1,paytm,1
CAP02325,Delhi,auto,5,fulltime,94,52,42,27,0.705,0.333,0.261,0.14,24.3,21.98,0.198,681.0,0,1,0,7,0,gpay,0
CAP02326,Pune,auto,7,parttime,37,30,22,13,0.632,0.677,0.515,0.14,20.9,18.19,0.511,271.0,4,0,0,6,1,cash,0
CAP02327,Bengaluru,bike,2,parttime,24,18,11,4,0.8,0.845,0.202,0.22,17.3,9.64,0.069,40.0,8,1,1,6,0,paytm,1
CAP02328,Chennai,auto,6,parttime,33,26,18,9,0.706,0.385,0.165,0.04,35.0,18.19,0.287,210.0,2,0,0,5,0,gpay,0
CAP02329,Bengaluru,bike,2,parttime,19,16,7,4,0.75,0.346,0.223,0.08,24.8,8.95,0.631,44.0,2,1,0,2,2,gpay,0
CAP02330,Bengaluru,bike,3,parttime,29,22,19,7,0.733,0.51,0.54,0.1,14.6,11.11,0.28,93.0,1,0,0,1,1,paytm,0
CAP02331,Bengaluru,auto,1,parttime,38,34,27,14,0.615,0.915,0.217,0.14,22.3,23.51,0.122,377.0,5,1,1,7,0,paytm,0
CAP02332,Chennai,auto,3,fulltime,72,62,48,20,0.712,0.145,0.327,0.066,26.1,19.58,0.492,488.0,1,0,0,4,0,paytm,0
CAP02333,Chennai,auto,7,parttime,31,24,22,8,0.719,0.926,0.158,0.14,30.7,16.59,0.335,152.0,2,0,0,10,2,gpay,1
CAP02334,Bengaluru,bike,5,parttime,34,26,18,10,0.686,0.791,0.445,0.22,21.5,9.7,0.317,101.0,5,0,0,5,2,paytm,1
CAP02335,Hyderabad,bike,4,fulltime,83,59,28,14,0.821,0.341,0.586,0.191,15.0,9.14,0.359,138.0,1,1,1,10,2,paytm,0
CAP02336,Hyderabad,bike,12,parttime,24,21,11,7,0.68,0.711,0.537,0.08,22.3,10.42,0.65,89.0,0,1,0,5,0,gpay,0
CAP02337,Hyderabad,bike,8,fulltime,84,60,31,14,0.824,0.673,0.888,0.218,21.9,12.46,0.598,182.0,1,1,1,2,0,cash,0
CAP02338,Bengaluru,auto,8,parttime,29,16,14,5,0.8,0.388,0.212,0.14,26.8,17.02,0.295,98.0,4,0,0,9,0,qr_scan,1
CAP02339,Hyderabad,bike,1,parttime,32,18,9,3,0.879,0.79,0.221,0.22,19.0,9.74,0.474,30.0,4,1,0,6,0,paytm,1
CAP02340,Chennai,bike,9,fulltime,69,63,29,17,0.743,0.511,0.185,0.22,21.7,10.18,0.746,180.0,2,0,0,7,2,gpay,0
CAP02341,Bengaluru,bike,9,fulltime,78,46,27,9,0.873,0.516,0.236,0.08,21.4,10.95,0.578,121.0,0,1,0,9,1,amazon_pay,1
CAP02342,Bengaluru,bike,2,parttime,37,31,15,5,0.842,0.933,0.217,0.199,8.0,10.06,0.523,54.0,6,0,1,1,1,cash,1
CAP02343,Hyderabad,bike,2,fulltime,89,79,60,33,0.622,0.322,0.51,0.22,18.7,9.69,0.263,333.0,2,1,0,8,0,gpay,0
CAP02344,Delhi,bike,8,parttime,26,20,11,10,0.593,0.773,0.288,0.08,19.7,9.93,0.237,122.0,4,1,0,2,1,paytm,1
CAP02345,Chennai,auto,12,fulltime,78,69,60,46,0.405,0.501,0.665,0.054,12.6,14.07,0.331,816.0,0,0,0,6,0,amazon_pay,1
CAP02346,Chennai,bike,11,fulltime,64,37,19,15,0.754,0.285,0.518,0.08,20.1,10.89,0.728,200.0,2,0,0,4,0,amazon_pay,0
CAP02347,Hyderabad,auto,6,fulltime,86,81,42,19,0.77,0.399,0.655,0.14,19.2,17.12,0.336,373.0,2,1,1,5,0,gpay,0
CAP02348,Hyderabad,bike,3,fulltime,89,70,52,35,0.6,0.264,0.36,0.124,22.2,13.59,0.437,556.0,3,1,0,13,1,amazon_pay,0
CAP02349,Bengaluru,bike,12,parttime,28,24,11,5,0.793,0.45,0.651,0.22,20.2,11.15,0.264,58.0,1,1,1,5,2,gpay,1
CAP02350,Chennai,bike,2,parttime,28,18,8,5,0.793,0.606,0.736,0.22,16.9,12.25,0.418,64.0,1,1,0,8,2,paytm,1
CAP02351,Delhi,auto,5,parttime,34,22,11,9,0.714,0.454,0.322,0.14,25.0,20.81,0.327,215.0,2,1,1,9,0,amazon_pay,0
CAP02352,Chennai,bike,8,parttime,25,15,10,6,0.731,0.84,0.333,0.146,17.8,10.75,0.795,73.0,2,1,0,10,2,amazon_pay,0
CAP02353,Pune,bike,6,parttime,21,17,12,5,0.727,0.672,0.337,0.22,25.8,8.48,0.388,44.0,2,1,1,5,1,paytm,1
CAP02354,Chennai,bike,12,fulltime,84,46,29,15,0.812,0.661,0.535,0.22,15.1,9.45,0.081,147.0,4,0,0,6,0,gpay,1
CAP02355,Bengaluru,bike,3,fulltime,78,46,31,19,0.747,0.517,0.642,0.22,17.7,9.91,0.11,196.0,0,0,0,3,1,paytm,0
CAP02356,Delhi,auto,12,fulltime,81,50,33,27,0.659,0.602,0.415,0.106,21.6,21.22,0.508,683.0,2,0,0,4,2,qr_scan,0
CAP02357,Bengaluru,auto,12,parttime,25,20,13,9,0.615,0.482,0.176,0.04,15.3,18.48,0.577,213.0,1,0,1,6,1,gpay,1
CAP02358,Hyderabad,bike,9,parttime,29,23,13,12,0.567,0.601,0.19,0.22,20.2,12.26,0.591,153.0,1,1,1,5,2,gpay,0
CAP02359,Bengaluru,bike,8,parttime,30,23,12,11,0.613,0.658,0.294,0.08,17.7,11.49,0.375,155.0,3,0,1,3,2,cash,0
CAP02360,Bengaluru,auto,10,parttime,30,21,13,6,0.774,0.28,0.335,0.04,18.1,16.07,0.576,123.0,3,0,0,5,1,gpay,1
CAP02361,Hyderabad,bike,6,fulltime,74,68,46,34,0.533,0.519,0.483,0.215,16.2,13.09,0.199,466.0,2,0,0,7,0,paytm,0
CAP02362,Bengaluru,bike,1,parttime,22,20,18,13,0.391,0.57,0.092,0.22,20.8,9.96,0.552,135.0,2,0,0,6,0,gpay,1
CAP02363,Hyderabad,bike,2,parttime,27,18,14,9,0.643,0.445,0.428,0.22,13.8,12.24,0.049,115.0,1,0,0,7,1,amazon_pay,1
CAP02364,Hyderabad,bike,4,fulltime,83,63,55,45,0.452,0.474,0.776,0.22,23.9,7.92,0.77,371.0,1,0,1,3,1,gpay,0
CAP02365,Bengaluru,bike,2,parttime,25,20,12,6,0.731,0.785,0.783,0.22,15.7,9.17,0.217,57.0,2,1,0,10,2,paytm,0
CAP02366,Bengaluru,auto,3,parttime,38,24,17,13,0.641,0.427,0.499,0.124,27.1,19.86,0.386,302.0,1,0,0,7,1,amazon_pay,0
CAP02367,Hyderabad,bike,8,parttime,31,26,21,10,0.656,0.516,0.211,0.105,21.7,11.67,0.299,139.0,2,0,0,5,1,gpay,1
CAP02368,Bengaluru,bike,9,parttime,30,25,13,8,0.71,0.83,0.387,0.22,14.2,11.85,0.161,99.0,5,0,0,4,1,paytm,1
CAP02369,Chennai,auto,6,parttime,19,14,9,3,0.8,0.522,0.481,0.14,23.8,20.39,0.641,70.0,5,1,1,8,0,paytm,1
CAP02370,Chennai,bike,4,parttime,25,17,10,7,0.692,0.614,0.424,0.22,16.2,10.07,0.153,73.0,5,0,0,5,0,gpay,1
CAP02371,Pune,bike,11,parttime,21,16,11,9,0.545,0.122,0.447,0.08,15.5,12.42,0.759,137.0,4,1,0,6,1,cash,0
CAP02372,Chennai,bike,2,fulltime,93,51,30,23,0.745,0.369,0.535,0.08,19.7,8.88,0.697,251.0,1,1,0,4,0,gpay,0
CAP02373,Hyderabad,bike,7,fulltime,84,74,46,42,0.494,0.63,0.416,0.217,17.1,11.85,0.581,520.0,0,0,0,2,3,gpay,0
CAP02374,Chennai,auto,10,fulltime,77,68,58,54,0.295,0.836,0.372,0.04,13.9,26.0,0.08,1797.0,2,0,1,3,0,qr_scan,0
CAP02375,Bengaluru,auto,11,fulltime,68,51,42,26,0.609,0.934,0.547,0.096,20.6,18.4,0.547,577.0,2,1,0,11,1,gpay,0
CAP02376,Bengaluru,bike,7,parttime,32,17,11,4,0.848,0.593,0.673,0.154,17.2,9.81,0.654,44.0,1,1,0,5,0,gpay,1
CAP02377,Pune,bike,10,parttime,31,21,10,7,0.75,0.908,0.499,0.087,19.3,10.65,0.152,91.0,3,0,1,3,1,amazon_pay,1
CAP02378,Hyderabad,bike,9,parttime,38,27,16,9,0.744,0.61,0.33,0.16,20.7,10.41,0.226,105.0,3,0,1,9,1,amazon_pay,1
CAP02379,Pune,auto,5,parttime,23,20,16,9,0.583,0.223,0.414,0.04,22.3,21.13,0.175,243.0,4,0,0,8,0,paytm,0
CAP02380,Pune,bike,10,parttime,22,12,9,4,0.783,0.802,0.258,0.147,14.1,12.64,0.695,58.0,0,0,1,3,1,amazon_pay,0
CAP02381,Pune,bike,4,fulltime,93,70,42,15,0.83,0.388,0.412,0.138,8.6,11.21,0.275,193.0,2,1,1,9,0,paytm,1
CAP02382,Delhi,bike,10,parttime,30,22,20,16,0.452,0.881,0.489,0.22,16.9,10.52,0.153,175.0,4,1,1,6,2,gpay,0
CAP02383,Hyderabad,bike,6,fulltime,80,51,35,22,0.716,0.17,0.423,0.158,19.0,8.69,0.727,215.0,3,0,0,7,0,qr_scan,0
CAP02384,Bengaluru,bike,12,parttime,23,14,12,7,0.667,0.459,0.597,0.22,11.5,14.14,0.247,103.0,3,0,0,6,1,qr_scan,1
CAP02385,Hyderabad,bike,2,parttime,32,25,17,9,0.697,0.453,0.141,0.22,9.5,11.25,0.188,105.0,3,1,0,5,1,amazon_pay,1
CAP02386,Hyderabad,auto,2,fulltime,78,73,33,21,0.722,0.525,0.809,0.14,22.7,21.04,0.505,507.0,1,1,0,5,1,qr_scan,0
CAP02387,Chennai,bike,12,fulltime,87,75,37,29,0.659,0.391,0.252,0.22,15.7,10.15,0.176,306.0,2,1,0,8,2,amazon_pay,0
CAP02388,Chennai,auto,9,parttime,28,21,10,6,0.759,0.596,0.421,0.14,20.4,22.25,0.571,153.0,3,0,0,4,1,amazon_pay,1
CAP02389,Chennai,bike,7,fulltime,83,64,51,20,0.75,0.616,0.567,0.147,13.4,11.52,0.651,262.0,2,0,0,9,0,gpay,0
CAP02390,Hyderabad,bike,7,parttime,18,14,12,6,0.632,0.65,0.194,0.08,17.3,7.63,0.483,56.0,2,0,0,6,0,amazon_pay,0
CAP02391,Bengaluru,auto,5,parttime,32,26,18,7,0.758,0.943,0.537,0.122,20.5,18.51,0.849,152.0,6,1,0,11,2,cash,1
CAP02392,Hyderabad,bike,7,parttime,24,16,14,6,0.72,0.339,0.391,0.22,15.6,10.63,0.315,66.0,4,0,0,5,0,amazon_pay,1
CAP02393,Bengaluru,auto,9,parttime,35,28,17,14,0.583,0.173,0.73,0.072,21.8,21.81,0.318,378.0,6,0,0,4,0,paytm,0
CAP02394,Pune,auto,10,parttime,29,18,9,4,0.833,0.867,0.613,0.14,31.5,22.25,0.231,102.0,4,0,0,4,0,cash,0
CAP02395,Bengaluru,bike,5,fulltime,80,69,39,30,0.617,0.365,0.544,0.22,16.1,9.25,0.464,289.0,2,0,0,6,0,cash,0
CAP02396,Bengaluru,bike,9,parttime,34,31,15,7,0.771,0.23,0.213,0.139,18.4,12.72,0.733,102.0,3,0,0,8,1,amazon_pay,1
CAP02397,Bengaluru,bike,1,parttime,32,24,21,18,0.424,0.392,0.329,0.08,22.9,11.21,0.77,248.0,1,1,0,5,2,paytm,0
CAP02398,Chennai,bike,12,fulltime,74,42,23,16,0.773,0.085,0.682,0.22,10.9,13.32,0.724,222.0,1,1,0,12,1,gpay,0
CAP02399,Chennai,bike,3,fulltime,82,68,56,42,0.482,0.622,0.341,0.115,14.6,13.49,0.342,669.0,3,0,1,4,0,paytm,0
CAP02400,Bengaluru,auto,7,fulltime,65,59,28,18,0.712,0.264,0.572,0.04,20.2,19.62,0.239,452.0,2,0,0,9,1,amazon_pay,0
CAP02401,Bengaluru,bike,4,parttime,24,22,18,16,0.32,0.777,0.627,0.22,16.2,12.33,0.569,205.0,3,0,1,5,1,qr_scan,0
CAP02402,Hyderabad,bike,2,fulltime,68,62,30,13,0.797,0.172,0.245,0.22,12.0,8.43,0.317,114.0,0,0,1,6,0,amazon_pay,0
CAP02403,Bengaluru,bike,12,parttime,32,24,22,11,0.636,0.835,0.583,0.22,15.2,10.91,0.567,125.0,4,0,0,8,2,amazon_pay,0
CAP02404,Chennai,auto,3,fulltime,83,76,58,51,0.381,0.654,0.347,0.14,23.4,21.42,0.522,1253.0,1,1,1,5,2,gpay,0
CAP02405,Chennai,bike,7,parttime,24,15,11,10,0.56,0.969,0.484,0.089,12.3,7.73,0.683,94.0,3,0,1,2,3,gpay,0
CAP02406,Hyderabad,bike,8,parttime,24,14,11,8,0.64,0.924,0.394,0.22,20.7,8.18,0.286,68.0,2,0,1,6,1,gpay,1
CAP02407,Bengaluru,bike,11,fulltime,94,69,40,19,0.789,0.24,0.218,0.22,11.3,8.96,0.281,177.0,2,0,0,8,2,gpay,0
CAP02408,Delhi,auto,9,fulltime,78,43,28,25,0.671,0.485,0.284,0.14,23.9,20.29,0.184,582.0,1,0,1,6,0,qr_scan,0
CAP02409,Hyderabad,auto,6,fulltime,74,42,37,16,0.773,0.166,0.141,0.106,27.8,14.05,0.771,268.0,0,1,1,5,1,gpay,0
CAP02410,Chennai,bike,10,parttime,32,25,13,11,0.636,0.421,0.795,0.22,14.0,14.92,0.221,171.0,0,1,1,1,3,paytm,1
CAP02411,Bengaluru,auto,9,parttime,30,24,17,9,0.677,0.328,0.435,0.14,26.6,23.82,0.259,246.0,2,0,0,4,1,qr_scan,1
CAP02412,Hyderabad,bike,4,fulltime,82,49,29,10,0.867,0.074,0.585,0.22,17.2,9.89,0.336,103.0,1,0,1,7,0,amazon_pay,0
CAP02413,Bengaluru,auto,12,parttime,19,13,10,7,0.6,0.546,0.185,0.14,28.2,20.25,0.704,163.0,0,0,1,4,1,cash,1
CAP02414,Hyderabad,bike,5,fulltime,65,56,37,21,0.667,0.142,0.092,0.08,16.1,12.79,0.652,329.0,1,1,0,3,3,gpay,0
CAP02415,Delhi,bike,1,parttime,23,14,8,2,0.875,0.418,0.228,0.22,8.0,10.53,0.597,22.0,3,0,0,2,0,gpay,1
CAP02416,Hyderabad,bike,9,fulltime,69,62,46,20,0.7,0.259,0.314,0.22,8.0,9.73,0.701,202.0,0,0,0,7,3,paytm,0
CAP02417,Bengaluru,bike,9,parttime,24,18,9,5,0.76,0.851,0.398,0.22,15.7,11.5,0.512,60.0,3,0,0,4,2,gpay,1
CAP02418,Bengaluru,auto,9,parttime,29,22,16,11,0.6,0.887,0.614,0.04,21.4,22.96,0.434,323.0,1,0,0,2,2,gpay,0
CAP02419,Hyderabad,bike,3,parttime,17,10,8,2,0.833,0.792,0.394,0.094,18.7,11.31,0.381,27.0,0,1,0,6,1,gpay,1
CAP02420,Bengaluru,auto,10,fulltime,90,51,47,31,0.648,0.766,0.29,0.04,35.5,21.16,0.094,840.0,1,0,1,5,1,paytm,0
CAP02421,Bengaluru,bike,10,fulltime,89,61,53,20,0.767,0.328,0.002,0.22,16.0,13.25,0.174,276.0,2,1,0,6,0,paytm,0
CAP02422,Chennai,bike,10,parttime,13,7,5,4,0.643,0.526,0.264,0.185,9.6,11.12,0.598,48.0,1,0,1,6,0,amazon_pay,1
CAP02423,Hyderabad,bike,8,parttime,26,15,10,7,0.704,0.839,0.651,0.22,20.4,8.45,0.043,62.0,4,0,1,8,0,paytm,0
CAP02424,Bengaluru,bike,3,fulltime,82,76,46,18,0.771,0.842,0.703,0.22,15.8,12.29,0.637,230.0,0,1,0,6,0,gpay,1
CAP02425,Delhi,auto,6,parttime,24,13,8,5,0.76,0.437,0.524,0.14,22.5,17.15,0.396,98.0,3,0,1,6,2,amazon_pay,0
CAP02426,Bengaluru,bike,5,parttime,23,16,12,9,0.583,0.607,0.407,0.086,23.9,8.97,0.567,98.0,2,0,0,7,1,gpay,0
CAP02427,Delhi,bike,8,fulltime,83,70,36,18,0.774,0.423,0.707,0.164,11.8,13.59,0.129,273.0,4,1,1,5,0,amazon_pay,0
CAP02428,Bengaluru,bike,3,parttime,28,18,14,6,0.759,0.413,0.375,0.22,17.0,9.7,0.319,61.0,7,1,0,7,2,gpay,1
CAP02429,Pune,bike,1,parttime,35,26,14,10,0.694,0.7,0.574,0.08,9.9,11.18,0.471,137.0,3,0,0,2,1,cash,1
CAP02430,Chennai,auto,12,fulltime,84,58,29,23,0.718,0.526,0.368,0.14,32.3,13.69,0.525,361.0,0,1,1,3,0,gpay,0
CAP02431,Pune,bike,9,parttime,24,20,9,5,0.76,0.65,0.346,0.22,18.6,12.18,0.575,63.0,6,1,0,5,3,paytm,1
CAP02432,Delhi,auto,10,parttime,31,24,14,6,0.781,0.55,0.568,0.104,28.2,13.77,0.672,99.0,3,0,0,8,0,gpay,0
CAP02433,Bengaluru,bike,9,parttime,26,17,10,9,0.63,0.541,0.164,0.171,17.7,10.14,0.145,101.0,2,1,0,4,2,gpay,0
CAP02434,Delhi,bike,3,fulltime,82,65,47,31,0.614,0.65,0.435,0.159,13.9,7.13,0.542,248.0,1,1,0,4,0,amazon_pay,0
CAP02435,Hyderabad,auto,2,parttime,24,13,8,5,0.76,0.596,0.447,0.14,24.4,21.7,0.212,124.0,3,0,0,6,2,gpay,0
CAP02436,Hyderabad,bike,4,fulltime,79,64,52,40,0.488,0.21,0.188,0.22,9.9,9.07,0.428,377.0,0,1,0,9,3,gpay,0
CAP02437,Bengaluru,bike,8,parttime,24,20,9,7,0.68,0.578,0.508,0.142,16.6,13.45,0.379,108.0,3,1,0,6,0,qr_scan,1
CAP02438,Hyderabad,bike,6,fulltime,73,40,19,10,0.851,0.019,0.543,0.22,19.8,7.0,0.261,73.0,1,1,0,2,0,paytm,0
CAP02439,Bengaluru,bike,10,fulltime,88,71,40,33,0.618,0.711,0.479,0.22,17.1,8.09,0.401,278.0,2,1,0,7,2,gpay,1
CAP02440,Hyderabad,auto,1,parttime,22,16,7,6,0.696,0.773,0.447,0.14,24.4,17.67,0.177,122.0,3,0,0,5,1,paytm,1
CAP02441,Hyderabad,bike,8,parttime,22,14,7,6,0.696,0.779,0.153,0.22,21.7,12.98,0.312,81.0,5,0,0,8,1,paytm,1
